x, y
97.23102813046842, 66.61717921527041
133.16504614120092, 68.90774125132556
171.4534946172822, 70.14846235418875
223.2443559046269, 71.29374337221633
307.47150813218354, 71.86638388123012
389.2636964929454, 71.86638388123012
521.2825303447241, 71.00742311770944
750.9478117400679, 69.28950159066808
908.9428660219835, 67.57158006362673
1392.8438759401656, 63.46765641569459
1733.9013719820553, 61.46341463414634
2554.565679635163, 57.83669141039236
3092.0314487748974, 55.54612937433722
3618.5667258679846, 53.6373276776246
5125.73438762749, 50.10604453870626
6274.237810591112, 48.006362672322375
7425.6026714400805, 46.28844114528102
10284.78274093903, 42.566277836691405
11835.067295194689, 41.13467656415695
14486.904919154644, 38.8441145281018